id,dataset_id,paper1_id,paper2_id,winner_id,judge_provider,judge_model,reasoning,created_at
23b57b77-56e8-4c53-b904-38849ae5e42c,iclr-codegen,fb4ea0b9-b036-44a8-b816-5d429e092bf5,7f0424a0-1636-4645-82bb-6e658bafdf0f,7f0424a0-1636-4645-82bb-6e658bafdf0f,openai,gpt-5.2,"Paper 2 (SecCodePLT) has higher likely scientific impact because it addresses an urgent, broadly relevant problem—security evaluation of code-generation AI—using a unified platform with more rigorous dynamic metrics (test cases, executable attack environments) than many prior benchmarks. Its contributions are immediately applicable to industry and policy (model release gating, safety auditing) and can influence evaluation norms across AI safety, software engineering, and cybersecurity. While limited (Python-only, constrained attack environment, some LLM-judge elements), it still offers a clearer path to community adoption and extension. Paper 1’s ideas (staged DSL control + neural feedback) are less convincingly validated due to narrow toy domains, no external SOTA baselines, and heavy reliance on hand-encoded expert structure, reducing generality and broader field impact despite strong reported internal gains.",2026-02-28T09:28:57.752158+00:00
a892ffb8-14da-4cd6-8ac3-4ea9ef1727e4,iclr-codegen,74b4b48f-fe31-4dec-966a-2c68cd29fb5a,e5d122db-683f-4371-a953-eda13c9dd2c8,e5d122db-683f-4371-a953-eda13c9dd2c8,openai,gpt-5.2,"Paper 2 (WebAgent) likely has higher scientific impact due to broader cross-field relevance and a more novel model-design contribution. Beyond an agent pipeline, it introduces HTML-T5: a domain-specialized architecture (local–global attention + HTML-tailored long-span denoising) that can generalize to other structured documents (XML/JSON/code), influencing model design and pretraining practices. Its applications—real-world web automation, digital assistants, and enterprise RPA—are wide and economically significant, and it establishes strong results across multiple benchmarks (MiniWoB++, Mind2Web) plus real-website tests. Paper 1 (MathCoder) is timely and strong, but its core idea (tool/code-augmented reasoning) is closer to an incremental instantiation of an already-emerging paradigm and relies heavily on GPT-4-generated data; impact is more concentrated in math reasoning. WebAgent’s architectural priors and modularity are likely to propagate more broadly.",2026-02-28T09:28:58.307434+00:00
3de15024-cf34-4fb6-b0e8-675f1c77d047,iclr-codegen,b5b7a624-07ec-435b-a3f8-63635d23d7dc,6e7fdf86-2a1b-48f3-a377-f6b9ee2ff398,6e7fdf86-2a1b-48f3-a377-f6b9ee2ff398,openai,gpt-5.2,"Paper 2 (RACE) likely has higher scientific impact because it introduces a broadly useful evaluation paradigm—multi-dimensional, demand-dependent code quality benchmarking—that can reshape how the field measures progress beyond near-ceiling correctness metrics. Its contamination-resistance experiment is a timely, methodologically concrete contribution with relevance across LLM evaluation, training, and deployment, and the benchmark’s findings (instruction-following limits, style bias) can directly influence model development. While some metrics are imperfect proxies and Python-only limits generality, benchmarks often become community infrastructure with cross-project adoption. Paper 1 is a rigorous, valuable diagnostic study with an important negative result, but it offers modest performance gains, limited methodological novelty, and narrower applicability, making it less likely to drive broad, lasting shifts in research and practice.",2026-02-28T09:28:58.381554+00:00
38c2f4a9-3206-4b71-9b20-9f1541cd4ee8,iclr-codegen,0fc5cd43-512d-46d4-97df-d39bcbc87ffa,25837c15-5dce-42e0-85f8-bfbc4f24dab1,0fc5cd43-512d-46d4-97df-d39bcbc87ffa,gemini,gemini-3-pro-preview,"Paper 1 (LLMFP) presents a more significant methodological advance by successfully bridging LLMs and formal solvers for zero-shot planning across diverse domains. It addresses a fundamental reasoning bottleneck in AI, demonstrating high success rates on NP-hard problems where LLMs typically fail. This creates a new paradigm for 'neuro-symbolic' planning that is likely to inspire immediate follow-up work in operations research and robotics. Paper 2 (VersiCode) identifies an important practical problem (version conflicts in code generation) and provides a valuable benchmark, but it is primarily a dataset/evaluation paper without proposing a novel solution. While useful for engineering, Paper 1's general-purpose framework has broader theoretical implications for how we combine neural networks with symbolic reasoning.",2026-02-28T09:28:58.770891+00:00
2b09883d-0a38-437b-956f-b91e2d3388a0,iclr-codegen,428f177e-3e4f-4963-8ceb-ec5f4202895c,743aa76d-76f6-4f2d-ba22-91b27be28290,743aa76d-76f6-4f2d-ba22-91b27be28290,gemini,gemini-3-pro-preview,"Paper 2 (Execution-guided within-prompt search) presents a more conceptually novel and potentially paradigm-shifting approach. While Paper 1 improves debugging performance via a logical hierarchical decomposition, it relies on standard prompting techniques and a risky 'simulated execution' component. Paper 2, however, fundamentally reimagines the search process by collapsing the 'policy' and 'value function' of a search algorithm into a single autoregressive context. This 'implicit search' mechanism, combined with real execution feedback (rather than simulated), offers a generalizable framework for reasoning and search that extends beyond just code generation. Furthermore, Paper 2's methodological rigor in defining 'aligned pass@k' to fairly compare token costs addresses a major flaw in current literature, likely influencing future evaluation standards.",2026-02-28T09:28:58.778890+00:00
9df9d154-4e07-422a-9633-e91bc327a566,iclr-codegen,ec96e2b4-3ceb-460c-abd7-687de1ac099a,8a45fb2e-3d14-4d00-aea3-ed375c4791e5,8a45fb2e-3d14-4d00-aea3-ed375c4791e5,gemini,gemini-3-pro-preview,"While both papers address important problems in software engineering, Paper 2 (Effi-Code) has higher potential impact due to the breadth of its application. Paper 1 focuses on a niche domain (fuzzing deep learning libraries) with incremental improvements over existing tools (finding only 2 more bugs than SOTA). In contrast, Paper 2 targets a fundamental and widespread issue in LLM code generation: code efficiency. By shifting the focus from mere correctness (pass rates) to computational performance (runtime/memory), it addresses a critical gap relevant to all developers using AI coding assistants. The creation of a large-scale, efficiency-tuned dataset and the demonstration of significant performance gains (30% reduction in execution time) across multiple models suggest a more generalizable methodology that could influence how future code models are trained and evaluated.",2026-02-28T09:28:59.389695+00:00
c0101965-0dad-4340-bbca-80124676e144,iclr-codegen,4178bb16-2ad2-460d-9fca-7f718143fde3,f2c11386-62ec-492f-8105-bca6393b8fd5,4178bb16-2ad2-460d-9fca-7f718143fde3,anthropic,claude-opus-4-6,"Paper 1 (MPSC) demonstrates substantially higher scientific impact through its novel graph-based formalization of multi-perspective consistency, comprehensive evaluation across 4 benchmarks and 7 models, and strong empirical gains (+17.6% on HumanEval). Its methodological contribution — combining inter- and intra-consistency via manifold ranking on multipartite graphs — is a genuine conceptual advance over prior work like CodeT and self-consistency. Paper 2, while presenting an intuitive print-debugging approach, suffers from critical experimental limitations: a tiny dataset (39-132 problems), single model evaluation (GPT-4 only), no statistical significance testing, and incremental novelty. Paper 1's model-agnostic design, systematic ablations, and mathematically principled framework give it broader applicability and stronger foundations for future work in consistency-based reasoning beyond code generation.",2026-02-28T09:29:00.039429+00:00
2b326986-20b5-43eb-920c-290fb9035789,iclr-codegen,a73bdbda-cd41-4e7a-9313-da3805243655,0168b1d1-dde7-44d5-94ec-0af00266fa86,0168b1d1-dde7-44d5-94ec-0af00266fa86,anthropic,claude-opus-4-6,"SFS demonstrates higher potential scientific impact for several reasons: (1) Broader evaluation across five benchmarks including harder ones (APPS, CodeContests, Leetcode) versus four simpler benchmarks for SPA; (2) Larger absolute improvements (8.6% on HumanEval+ vs 7.6% max for SPA); (3) More transferable conceptual contribution — framing LLM inference as black-box optimization and the Scattering principle (prompting for diverse directions before generating) generalizes beyond code to reasoning tasks broadly; (4) Greater practical deployability — SFS is parameter-free and works with API-only models, while SPA requires logit access (excluding commercial APIs) and per-model hyperparameter tuning; (5) The finding that even nonsensical prompts improve diversity is a striking insight about LLM behavior with broad implications; (6) Better timeliness, directly addressing the inference-time compute scaling paradigm which is a major emerging research direction.",2026-02-28T09:29:02.083677+00:00
dd025173-7e99-4ee3-8b78-a0140d6b9da6,iclr-codegen,6e7fdf86-2a1b-48f3-a377-f6b9ee2ff398,a5ef4712-caba-47bd-9725-e65d9ab295c3,6e7fdf86-2a1b-48f3-a377-f6b9ee2ff398,openai,gpt-5.2,"Paper 1 (RACE) has higher likely scientific impact because it introduces a broadly useful, contamination-resistant evaluation framework that targets a widely recognized bottleneck: correctness-only code benchmarks no longer discriminate models or reflect real development needs. Its demand-dependent, multi-dimensional design (readability/maintainability/correctness/efficiency) is a clear methodological contribution with immediate applicability for benchmarking, model training objectives, and procurement in industry. The paper also includes a comparatively rigorous contamination experiment with controlled fine-tuning to validate a key claim. Paper 2’s idea (iterative execution feedback/debugging) is practically relevant but incremental relative to prior self-debugging/agent work, and its reported gains are undermined by major rigor/reproducibility issues (contradictory ablation examples, unclear pass@1 definition for iterative methods, missing cost controls).",2026-02-28T09:29:02.894244+00:00
b5993bb0-395e-4ec1-8af8-6ae8e71e50c2,iclr-codegen,016a49b9-a3e4-4521-bbd9-c214bd08b8e2,b5b7a624-07ec-435b-a3f8-63635d23d7dc,016a49b9-a3e4-4521-bbd9-c214bd08b8e2,openai,gpt-5.2,"Paper 1 (PLUM) has higher estimated scientific impact because it offers a scalable, training-time framework that consistently improves multiple open code LMs via on-policy preference learning with automatically generated, execution-verified preferences—directly addressing a major bottleneck (costly human labels or reward models) and demonstrating generality across model families, datasets, and tougher benchmarks (e.g., LiveCodeBench). Its methodology is comparatively more actionable for practitioners and can influence post-SFT alignment pipelines broadly in code generation and other formally verifiable domains. Paper 2 provides a valuable diagnostic/negative-result study and a clearer conceptual taxonomy (post- vs in-execution), but it yields modest performance gains and mainly reshapes evaluation assumptions rather than delivering a widely deployable improvement mechanism.",2026-02-28T09:29:02.934034+00:00
